System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:45:37:455	8,12873E+13	    0.116	   14.000	3200	  25.893	   3.016	   0.838	  14.583	   1.699	   0.472	66	0	   0.519	   0.060	   0.017	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:37:564	8,12876E+13	    0.226	   17.000	3200	  26.858	   5.951	   1.653	  15.320	   3.373	   0.937	64	0	   0.515	   0.117	   0.032	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:37:676	8,12879E+13	    0.337	   12.000	3200	  25.783	   8.823	   2.451	  14.509	   4.989	   1.386	65	0	   0.472	   0.169	   0.047	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:37:784	8,12882E+13	    0.446	   13.000	3200	  26.574	  11.715	   3.254	  15.165	   6.640	   1.844	72	0	   0.480	   0.222	   0.062	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:37:895	8,12885E+13	    0.557	   12.000	3200	  26.197	  14.622	   4.062	  14.830	   8.285	   2.301	73	0	   0.460	   0.273	   0.076	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:005	8,12888E+13	    0.666	   13.000	3200	  26.003	  17.469	   4.853	  14.730	   9.898	   2.749	59	0	   0.503	   0.328	   0.091	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:115	8,12891E+13	    0.776	   12.000	3200	  25.815	  20.303	   5.640	  14.414	  11.480	   3.189	68	0	   0.476	   0.380	   0.106	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:226	8,12894E+13	    0.887	   12.000	3200	  26.391	  23.234	   6.454	  15.049	  13.152	   3.653	64	0	   0.476	   0.433	   0.120	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:335	8,12897E+13	    0.996	   12.000	3200	  26.037	  26.068	   7.241	  14.626	  14.744	   4.095	67	0	   0.460	   0.483	   0.134	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:447	8,129E+13	    1.108	   12.000	3200	  25.941	  28.976	   8.049	  14.612	  16.382	   4.550	67	0	   0.457	   0.534	   0.148	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:557	8,12903E+13	    1.218	   16.000	3200	  27.171	  31.963	   8.879	  15.789	  18.118	   5.033	66	0	   0.489	   0.588	   0.163	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:668	8,12906E+13	    1.330	   12.000	3200	  26.007	  34.875	   9.687	  14.640	  19.757	   5.488	64	0	   0.465	   0.640	   0.178	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:777	8,12909E+13	    1.439	   12.000	3200	  26.245	  37.729	  10.480	  14.827	  21.369	   5.936	69	0	   0.458	   0.690	   0.192	  55.000	  75.000	   0.000	 230.000	 280.000
17:45:38:888	8,12912E+13	    1.549	   12.000	3200	  25.791	  40.581	  11.273	  14.579	  22.981	   6.384	68	0	   0.459	   0.741	   0.206	  55.000	  75.000	   0.000	 230.000	 280.000
