System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:43:11:141, 80890514120559,    0.111,   22.000, 3200,  27.676,   3.067,   0.852,  16.087,   1.783,   0.495, 59,  0,   0.903,   0.100,   0.028,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:252, 80890813671903,    0.221,   21.000, 2800,  25.677,   5.903,   1.640,  14.264,   3.358,   0.933, 55,  0,   0.787,   0.187,   0.052,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:360, 80891106399645,    0.329,   21.000, 3200,  27.501,   8.872,   2.464,  16.068,   5.093,   1.415, 56,  0,   0.805,   0.274,   0.076,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:462, 80891385669758,    0.432,   42.000, 3200,  35.496,  12.527,   3.480,  23.780,   7.542,   2.095, 61,  0,   1.206,   0.398,   0.111,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:579, 80891700478882,    0.548,   49.000, 3200,  38.869,  17.039,   4.733,  27.262,  10.706,   2.974, 66,  0,   1.173,   0.534,   0.148,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:688, 80891996293219,    0.657,   65.000, 3200,  38.413,  21.229,   5.897,  31.291,  14.119,   3.922, 72,  0,   1.425,   0.690,   0.192,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:796, 80892290534343,    0.766,   33.000, 3200,  26.033,  24.054,   6.682,  21.797,  16.484,   4.579, 66,  0,   0.848,   0.782,   0.217,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:11:906, 80892588684861,    0.876,   19.000, 3200,  21.403,  26.407,   7.335,  17.474,  18.405,   5.113, 66,  0,   0.581,   0.846,   0.235,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:12:015, 80892884438955,    0.985,   55.000, 3200,  32.721,  29.975,   8.326,  28.683,  21.533,   5.981, 68,  0,   0.940,   0.948,   0.263,  55.000,  75.000,   0.000, 230.000, 280.000
17:43:12:126, 80893183839335,    1.095,   17.000, 3200,  21.477,  32.346,   8.985,  17.668,  23.484,   6.523, 71,  0,   0.556,   1.009,   0.280,  55.000,  75.000,   0.000, 230.000, 280.000
