System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:24:21:414	7,78267E+13	    0.103	   49.000	3200	  35.583	   3.670	   1.019	  23.999	   2.475	   0.688	59	0	   1.305	   0.135	   0.037	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:21:524	7,7827E+13	    0.213	   20.000	3300	  28.217	   6.780	   1.883	  16.673	   4.313	   1.198	61	0	   0.827	   0.226	   0.063	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:21:631	7,78273E+13	    0.319	   42.000	3200	  34.178	  10.400	   2.889	  22.582	   6.705	   1.862	64	0	   1.151	   0.348	   0.097	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:21:740	7,78276E+13	    0.429	   37.000	3200	  34.650	  14.207	   3.946	  22.996	   9.231	   2.564	59	0	   0.982	   0.456	   0.127	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:21:858	7,78279E+13	    0.547	   60.000	3200	  35.355	  18.359	   5.100	  23.652	  12.009	   3.336	65	0	   0.911	   0.563	   0.156	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:21:971	7,78282E+13	    0.659	   50.000	3200	  39.202	  22.776	   6.327	  27.726	  15.133	   4.204	66	0	   1.133	   0.690	   0.192	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:22:079	7,78285E+13	    0.768	   82.000	3200	  45.465	  27.736	   7.705	  33.857	  18.827	   5.230	69	0	   1.346	   0.837	   0.233	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:22:184	7,78288E+13	    0.874	   73.000	3200	  44.637	  32.440	   9.011	  32.668	  22.269	   6.186	67	0	   1.321	   0.976	   0.271	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:22:292	7,78291E+13	    0.981	   98.000	3200	  47.439	  37.520	  10.422	  35.642	  26.086	   7.246	70	0	   1.598	   1.148	   0.319	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:22:400	7,78294E+13	    1.089	   86.000	3200	  38.084	  41.643	  11.568	  33.477	  29.711	   8.253	64	0	   1.655	   1.327	   0.369	  55.000	  75.000	   0.000	 230.000	 280.000
